SS,YEAR,SEASON,MONTH,TIME
31.1,1995,SPRING,5,09:19
24.4,1995,SPRING,5,09:54
30.0,1995,SPRING,5,12:47
29.7,1995,SPRING,5,13:10
28.9,1995,SPRING,5,13:16
27.6,1995,SPRING,5,13:29
27.5,1995,SPRING,5,10:22
28.8,1995,SPRING,5,10:46
25.3,1995,SPRING,5,11:29
26.8,1995,SPRING,5,11:42
30.4,1995,SPRING,5,11:51
23.5,1995,SPRING,5,12:11
29.7,1995,SPRING,5,12:41
25.4,1995,SPRING,5,13:26
30.2,1995,SPRING,5,13:34
27.6,1995,SPRING,5,13:40
25.2,1995,SPRING,5,10:31
24.5,1995,SPRING,5,10:39
25.6,1995,SPRING,5,14:04
24.0,1995,SPRING,5,14:20
24.4,1995,SPRING,5,14:31
22.8,1995,SPRING,5,14:39
24.6,1995,SPRING,5,10:32
24.7,1995,SPRING,5,10:41
25.7,1995,SPRING,5,11:04
23.7,1995,SPRING,5,11:13
26.9,1995,SPRING,5,11:28
26.2,1995,SPRING,5,11:39
25.1,1995,SPRING,5,11:51
29.4,1995,SPRING,5,12:30
29.9,1995,SPRING,5,12:42
30.6,1995,SPRING,5,13:41
24.6,1995,SPRING,5,13:55
24.6,1995,SPRING,5,14:25
24.5,1995,SPRING,5,14:35
29.4,1995,SPRING,5,11:17
30.1,1995,SPRING,5,11:26
26.7,1995,SPRING,5,11:48
28.3,1995,SPRING,5,12:02
27.6,1995,SPRING,5,12:32
29.8,1995,SPRING,5,12:50
26.2,1995,SPRING,5,13:31
30.7,1995,SPRING,5,13:35
24.0,1995,SPRING,5,13:50
29.5,1995,SPRING,5,13:58
29.8,1995,SPRING,5,14:06
30.6,1995,SPRING,5,14:16
30.1,1995,SPRING,5,14:34
29.2,1995,SUMMER,7,09:47
27.7,1995,SUMMER,7,10:13
21.9,1995,SUMMER,7,10:21
25.6,1995,SUMMER,7,10:44
22.2,1995,SUMMER,7,14:37
21.1,1995,SUMMER,7,09:09
28.7,1995,SUMMER,7,09:56
24.8,1995,SUMMER,7,10:04
