TN,YEAR,SEASON,MONTH,TIME
3.212,1995,SPRING,5,12:43
3.284,1995,SPRING,5,12:47
3.053,1995,SPRING,5,12:59
2.855,1995,SPRING,5,13:06
2.826,1995,SPRING,5,13:10
2.713,1995,SPRING,5,13:16
3.163,1995,SPRING,5,13:29
2.954,1995,SPRING,5,10:01
3.307,1995,SPRING,5,10:16
2.954,1995,SPRING,5,10:22
3.421,1995,SPRING,5,10:34
3.466,1995,SPRING,5,11:09
3.409,1995,SPRING,5,11:29
3.368,1995,SPRING,5,11:51
3.414,1995,SPRING,5,12:00
3.394,1995,SPRING,5,12:11
2.949,1995,SPRING,5,12:21
2.924,1995,SPRING,5,12:30
3.431,1995,SPRING,5,12:41
2.873,1995,SPRING,5,13:34
2.992,1995,SPRING,5,13:40
3.07,1995,SPRING,5,13:54
2.767,1995,SPRING,5,09:56
2.991,1995,SPRING,5,10:15
3.286,1995,SPRING,5,10:58
3.145,1995,SPRING,5,11:21
3.027,1995,SPRING,5,14:04
2.884,1995,SPRING,5,14:11
2.848,1995,SPRING,5,14:20
2.878,1995,SPRING,5,14:31
2.772,1995,SPRING,5,14:39
3.289,1995,SPRING,5,14:47
3.277,1995,SPRING,5,11:28
3.285,1995,SPRING,5,11:39
3.341,1995,SPRING,5,11:51
2.762,1995,SPRING,5,12:30
2.942,1995,SPRING,5,12:42
3.077,1995,SPRING,5,13:08
3.424,1995,SPRING,5,13:18
3.475,1995,SPRING,5,13:41
3.327,1995,SPRING,5,13:55
3.397,1995,SPRING,5,14:35
3.124,1995,SPRING,5,11:11
3.373,1995,SPRING,5,11:17
3.172,1995,SPRING,5,11:26
3.244,1995,SPRING,5,11:39
3.348,1995,SPRING,5,11:48
2.74,1995,SPRING,5,14:21
2.48,1995,SUMMER,7,09:38
2.45,1995,SUMMER,7,10:01
2.35,1995,SUMMER,7,10:13
2.581,1995,SUMMER,7,10:28
2.507,1995,SUMMER,7,10:34
2.506,1995,SUMMER,7,14:32
2.631,1995,SUMMER,7,14:37
2.527,1995,SUMMER,7,09:09
2.379,1995,SUMMER,7,09:56
2.424,1995,SUMMER,7,10:04
2.552,1995,SUMMER,7,10:50
2.53,1995,SUMMER,7,10:59
2.529,1995,SUMMER,7,11:31
2.361,1995,SUMMER,7,11:37
2.492,1995,SUMMER,7,11:45
2.571,1995,SUMMER,7,11:50
2.513,1995,SUMMER,7,11:57
2.625,1995,SUMMER,7,12:21
2.471,1995,SUMMER,7,12:48
2.634,1995,SUMMER,7,13:55
2.371,1995,SUMMER,7,13:59
2.484,1995,SUMMER,7,14:10
2.584,1995,SUMMER,7,10:25
2.641,1995,SUMMER,7,10:45
2.59,1995,SUMMER,7,10:56
2.563,1995,SUMMER,7,11:10
2.607,1995,SUMMER,7,11:18
2.45,1995,SUMMER,7,12:27
2.534,1995,SUMMER,7,12:43
2.625,1995,SUMMER,7,12:56
2.53,1995,SUMMER,7,13:11
2.37,1995,SUMMER,7,13:29
2.507,1995,SUMMER,7,13:47
2.607,1995,SUMMER,7,14:01
2.579,1995,SUMMER,7,14:06
2.6,1995,SUMMER,7,09:41
2.597,1995,SUMMER,7,09:52
2.528,1995,SUMMER,7,10:03
2.507,1995,SUMMER,7,10:12
2.448,1995,SUMMER,7,10:24
2.603,1995,SUMMER,7,14:38
2.538,1995,SUMMER,7,14:49
2.514,1995,SUMMER,7,15:08
2.541,1995,SUMMER,7,15:24
2.542,1995,SUMMER,7,15:37
2.519,1995,SUMMER,7,08:42
2.36,1995,SUMMER,7,08:57
2.498,1995,SUMMER,7,09:06
1.623,1995,FALL,10,09:14
1.704,1995,FALL,10,09:42
1.741,1995,FALL,10,10:07
1.613,1995,FALL,10,10:14
1.597,1995,FALL,10,10:20
1.538,1995,FALL,10,10:43
1.562,1995,FALL,10,10:45
1.544,1995,FALL,10,10:51
1.632,1995,FALL,10,10:59
1.571,1995,FALL,10,11:06
1.555,1995,FALL,10,11:11
1.584,1995,FALL,10,11:15
1.679,1995,FALL,10,11:20
1.588,1995,FALL,10,12:40
1.603,1995,FALL,10,09:21
1.638,1995,FALL,10,09:36
1.681,1995,FALL,10,09:38
1.608,1995,FALL,10,09:47
1.653,1995,FALL,10,09:56
1.683,1995,FALL,10,12:47
1.743,1995,FALL,10,12:56
1.586,1995,FALL,10,13:03
1.519,1995,FALL,10,13:11
1.627,1995,FALL,10,13:20
1.546,1995,FALL,10,13:26
1.586,1995,FALL,10,13:37
1.536,1995,FALL,10,13:54
1.651,1995,FALL,10,09:02
1.712,1995,FALL,10,09:14
1.744,1995,FALL,10,09:19
1.614,1995,FALL,10,09:26
1.7,1995,FALL,10,12:53
1.516,1995,FALL,10,13:04
1.629,1995,FALL,10,13:13
1.563,1995,FALL,10,13:35
1.591,1995,FALL,10,13:48
1.645,1995,FALL,10,13:54
1.59,1995,FALL,10,14:03
1.59,1995,FALL,10,14:15
1.638,1995,FALL,10,10:00
1.623,1995,FALL,10,10:17
1.521,1995,FALL,10,10:23
1.666,1995,FALL,10,10:45
1.527,1995,FALL,10,11:51
1.636,1995,FALL,10,11:58
1.517,1995,FALL,10,12:07
1.732,1995,FALL,10,09:38
1.659,1995,FALL,10,09:56
2.619,1995,WINTER,1,10:18
2.557,1995,WINTER,1,11:00
2.567,1995,WINTER,1,11:07
2.595,1995,WINTER,1,11:12
2.603,1995,WINTER,1,11:17
2.591,1995,WINTER,1,11:59
2.54,1995,WINTER,1,12:05
2.616,1995,WINTER,2,12:30
2.553,1995,WINTER,2,12:45
2.603,1995,WINTER,2,12:53
2.553,1995,WINTER,2,13:10
2.546,1995,WINTER,2,13:35
2.603,1995,WINTER,2,13:49
2.514,1995,WINTER,2,13:55
2.592,1995,WINTER,2,09:42
2.559,1995,WINTER,2,09:49
2.54,1995,WINTER,2,09:55
2.546,1995,WINTER,2,10:02
2.626,1995,WINTER,2,10:21
2.63,1995,WINTER,2,10:45
2.61,1995,WINTER,2,10:52
2.553,1995,WINTER,2,11:59
2.603,1995,WINTER,2,12:44
2.652,1995,WINTER,2,13:08
2.572,1995,WINTER,2,09:38
2.61,1995,WINTER,2,10:20
2.601,1995,WINTER,2,10:27
2.572,1995,WINTER,2,11:48
2.65,1995,WINTER,2,12:02
2.54,1995,WINTER,2,13:23
2.627,1995,WINTER,2,13:28
2.632,1995,WINTER,2,13:39
2.527,1995,WINTER,2,13:47
2.633,1995,WINTER,2,12:34
2.582,1995,WINTER,2,13:01
2.628,1995,WINTER,2,13:28
2.607,1995,WINTER,2,13:58
2.547,1995,WINTER,2,14:13
2.572,1995,WINTER,2,14:25
2.622,1995,WINTER,2,14:31
2.571,1995,WINTER,2,14:40
2.655,1995,WINTER,2,08:16
2.553,1995,WINTER,2,08:29
2.601,1995,WINTER,2,08:43
2.634,1995,WINTER,2,09:04
2.607,1995,WINTER,2,09:38
2.501,1995,WINTER,2,11:42
2.546,1995,WINTER,2,12:13
1.518,1996,SPRING,4,09:00
1.641,1996,SPRING,4,09:30
1.771,1996,SPRING,4,10:15
1.714,1996,SPRING,4,11:00
1.489,1996,SPRING,4,11:00
1.499,1996,SPRING,4,11:40
1.684,1996,SPRING,4,12:00
1.433,1996,SPRING,4,12:00
1.711,1996,SPRING,4,12:20
1.725,1996,SPRING,4,12:40
1.73,1996,SPRING,4,13:00
1.726,1996,SPRING,4,13:10
1.815,1996,SPRING,4,13:30
1.583,1996,SPRING,4,14:00
1.615,1996,SPRING,4,14:30
1.697,1996,SPRING,4,08:30
1.591,1996,SPRING,4,09:15
1.825,1996,SPRING,4,09:55
1.628,1996,SPRING,4,10:15
1.7,1996,SPRING,4,10:15
1.624,1996,SPRING,4,10:30
1.715,1996,SPRING,4,10:40
1.487,1996,SPRING,4,10:40
1.608,1996,SPRING,4,11:45
1.671,1996,SPRING,4,12:15
1.738,1996,SPRING,4,12:30
1.52,1996,SPRING,4,13:45
1.826,1996,SPRING,5,08:00
1.703,1996,SPRING,5,08:45
1.553,1996,SPRING,5,09:00
1.587,1996,SPRING,5,09:15
1.508,1996,SPRING,5,09:45
1.718,1996,SPRING,5,10:00
1.546,1996,SPRING,5,11:00
1.611,1996,SPRING,5,08:10
1.721,1996,SPRING,5,08:40
1.568,1996,SPRING,5,09:00
1.523,1996,SPRING,5,09:00
1.702,1996,SPRING,5,09:30
1.645,1996,SPRING,5,09:30
1.683,1996,SPRING,5,10:00
1.672,1996,SPRING,5,10:15
1.524,1996,SPRING,5,10:40
1.685,1996,SPRING,5,11:10
1.503,1996,SPRING,5,11:50
1.745,1996,SPRING,5,11:50
1.759,1996,SPRING,5,12:00
1.56,1996,SPRING,5,12:20
1.926,1996,SUMMER,7,08:15
1.794,1996,SUMMER,7,09:35
1.698,1996,SUMMER,7,09:55
1.769,1996,SUMMER,7,10:15
1.816,1996,SUMMER,7,10:30
1.801,1996,SUMMER,7,11:00
1.711,1996,SUMMER,7,11:15
1.878,1996,SUMMER,7,12:20
1.9,1996,SUMMER,7,12:30
1.752,1996,SUMMER,7,12:50
1.827,1996,SUMMER,7,08:00
1.746,1996,SUMMER,7,08:30
1.836,1996,SUMMER,7,09:00
1.753,1996,SUMMER,7,09:10
1.644,1996,SUMMER,7,09:30
1.872,1996,SUMMER,7,09:45
1.855,1996,SUMMER,7,10:00
1.81,1996,SUMMER,7,10:30
1.846,1996,SUMMER,7,10:30
1.772,1996,SUMMER,7,12:30
1.734,1996,SUMMER,7,12:30
1.819,1996,SUMMER,7,12:50
1.872,1996,SUMMER,7,13:15
1.895,1996,SUMMER,7,14:10
1.917,1996,SUMMER,7,08:30
1.696,1996,SUMMER,7,09:30
1.841,1996,SUMMER,7,10:30
1.791,1996,SUMMER,7,10:40
1.793,1996,SUMMER,7,10:50
1.68,1996,SUMMER,7,11:45
1.748,1996,SUMMER,7,12:20
1.834,1996,SUMMER,7,12:25
1.797,1996,SUMMER,7,12:40
1.771,1996,SUMMER,7,12:45
1.683,1996,SUMMER,7,13:15
1.936,1996,SUMMER,7,13:45
1.759,1996,SUMMER,7,14:00
1.807,1996,SUMMER,7,08:40
1.633,1996,SUMMER,7,09:00
1.846,1996,SUMMER,7,09:25
1.867,1996,SUMMER,7,10:15
1.668,1996,SUMMER,7,10:30
1.943,1996,SUMMER,7,10:50
1.79,1996,SUMMER,7,13:00
1.913,1996,SUMMER,7,13:40
1.673,1996,SUMMER,7,14:20
1.886,1996,SUMMER,7,08:55
1.862,1996,SUMMER,7,09:20
1.342,1996,FALL,10,10:30
1.243,1996,FALL,10,10:45
1.295,1996,FALL,10,10:45
1.31,1996,FALL,10,11:10
1.259,1996,FALL,10,11:30
1.314,1996,FALL,10,13:00
1.227,1996,FALL,10,14:00
1.319,1996,FALL,10,15:45
1.224,1996,FALL,10,15:45
1.253,1996,FALL,10,10:30
1.341,1996,FALL,10,11:30
1.33,1996,FALL,10,11:50
1.357,1996,FALL,10,12:10
1.283,1996,FALL,10,12:25
1.21,1996,FALL,10,12:45
1.346,1996,FALL,10,12:50
1.317,1996,FALL,10,14:20
1.203,1996,FALL,10,14:50
1.308,1996,FALL,10,15:45
1.357,1996,FALL,10,10:00
1.26,1996,FALL,10,10:25
1.336,1996,FALL,10,10:45
1.301,1996,FALL,10,11:20
1.243,1996,FALL,10,12:00
1.346,1996,FALL,10,12:15
1.243,1996,FALL,10,12:32
1.227,1996,FALL,10,12:40
1.238,1996,FALL,10,13:05
1.275,1996,FALL,10,13:25
1.287,1996,FALL,10,13:30
1.345,1996,FALL,10,13:30
1.247,1996,FALL,10,13:31
1.228,1996,FALL,10,13:50
1.297,1996,FALL,10,14:00
1.299,1996,FALL,10,14:10
1.354,1996,FALL,10,14:15
1.35,1996,FALL,10,15:00
1.269,1996,FALL,10,15:00
1.355,1996,FALL,10,15:15
1.307,1996,FALL,10,15:30
1.295,1996,FALL,10,11:15
1.268,1996,FALL,10,11:40
1.307,1996,FALL,10,12:00
1.195,1996,FALL,10,12:55
1.301,1996,FALL,10,13:20
1.194,1996,FALL,10,14:15
1.305,1996,FALL,10,14:40
1.269,1996,FALL,10,15:00
2.619,1996,WINTER,1,10:18
2.557,1996,WINTER,1,11:00
2.567,1996,WINTER,1,11:07
2.595,1996,WINTER,1,11:12
2.603,1996,WINTER,1,11:17
2.591,1996,WINTER,1,11:59
2.54,1996,WINTER,1,12:05
2.616,1996,WINTER,2,12:30
2.553,1996,WINTER,2,12:45
2.603,1996,WINTER,2,12:53
2.553,1996,WINTER,2,13:10
2.546,1996,WINTER,2,13:35
2.603,1996,WINTER,2,13:49
2.514,1996,WINTER,2,13:55
2.592,1996,WINTER,2,09:42
2.559,1996,WINTER,2,09:49
2.54,1996,WINTER,2,09:55
2.546,1996,WINTER,2,10:02
2.626,1996,WINTER,2,10:21
2.63,1996,WINTER,2,10:45
2.61,1996,WINTER,2,10:52
2.553,1996,WINTER,2,11:59
2.603,1996,WINTER,2,12:44
2.652,1996,WINTER,2,13:08
2.572,1996,WINTER,2,09:38
2.61,1996,WINTER,2,10:20
2.601,1996,WINTER,2,10:27
2.572,1996,WINTER,2,11:48
2.65,1996,WINTER,2,12:02
2.54,1996,WINTER,2,13:23
2.627,1996,WINTER,2,13:28
2.632,1996,WINTER,2,13:39
2.527,1996,WINTER,2,13:47
2.633,1996,WINTER,2,12:34
2.582,1996,WINTER,2,13:01
2.628,1996,WINTER,2,13:28
2.607,1996,WINTER,2,13:58
2.547,1996,WINTER,2,14:13
2.572,1996,WINTER,2,14:25
2.622,1996,WINTER,2,14:31
2.571,1996,WINTER,2,14:40
2.655,1996,WINTER,2,08:16
2.553,1996,WINTER,2,08:29
2.601,1996,WINTER,2,08:43
2.634,1996,WINTER,2,09:04
2.607,1996,WINTER,2,09:38
2.501,1996,WINTER,2,11:42
2.546,1996,WINTER,2,12:13
2.387,1997,SPRING,4,09:10
2.234,1997,SPRING,4,11:00
2.462,1997,SPRING,4,11:45
2.371,1997,SPRING,4,12:50
2.403,1997,SPRING,4,13:30
2.228,1997,SPRING,4,13:55
2.216,1997,SPRING,4,10:05
2.422,1997,SPRING,4,10:35
2.478,1997,SPRING,4,11:20
2.251,1997,SPRING,4,11:55
2.349,1997,SPRING,4,12:00
2.422,1997,SPRING,4,12:35
2.326,1997,SPRING,4,12:40
2.311,1997,SPRING,4,13:10
2.144,1997,SPRING,4,13:35
2.404,1997,SPRING,4,13:45
2.2,1997,SPRING,4,14:15
2.468,1997,SPRING,4,14:20
2.41,1997,SPRING,4,09:30
2.391,1997,SPRING,4,09:30
2.369,1997,SPRING,4,10:05
2.38,1997,SPRING,4,10:30
2.296,1997,SPRING,4,10:50
2.377,1997,SPRING,4,10:50
2.34,1997,SPRING,4,11:05
2.244,1997,SPRING,4,11:05
2.383,1997,SPRING,4,12:05
2.46,1997,SPRING,4,12:20
2.395,1997,SPRING,4,12:50
2.328,1997,SPRING,4,13:10
2.212,1997,SPRING,4,13:30
2.239,1997,SPRING,4,14:20
2.339,1997,SPRING,4,14:35
2.343,1997,SPRING,4,15:05
2.142,1997,SPRING,5,09:40
2.312,1997,SPRING,5,10:00
2.415,1997,SPRING,5,10:25
2.352,1997,SPRING,5,10:35
2.357,1997,SPRING,5,11:00
2.392,1997,SPRING,5,11:45
2.319,1997,SPRING,5,12:15
2.478,1997,SPRING,5,12:30
2.223,1997,SPRING,5,12:50
2.164,1997,SPRING,5,13:05
2.455,1997,SPRING,5,13:35
2.279,1997,SPRING,5,13:40
2.169,1997,SPRING,5,14:15
2.464,1997,SPRING,5,14:55
2.421,1997,SUMMER,7,09:45
2.504,1997,SUMMER,7,10:05
2.517,1997,SUMMER,7,10:10
2.512,1997,SUMMER,7,10:30
2.516,1997,SUMMER,7,11:00
2.427,1997,SUMMER,7,11:10
2.482,1997,SUMMER,7,11:25
2.432,1997,SUMMER,7,12:05
2.422,1997,SUMMER,7,12:15
2.448,1997,SUMMER,7,12:45
2.319,1997,SUMMER,7,13:05
2.509,1997,SUMMER,7,14:10
2.356,1997,SUMMER,7,10:00
2.37,1997,SUMMER,7,11:10
2.512,1997,SUMMER,7,11:30
2.579,1997,SUMMER,7,12:00
2.386,1997,SUMMER,7,12:00
2.403,1997,SUMMER,7,12:20
2.606,1997,SUMMER,7,12:30
2.608,1997,SUMMER,7,12:30
2.474,1997,SUMMER,7,12:50
2.522,1997,SUMMER,7,12:50
2.441,1997,SUMMER,7,13:00
2.59,1997,SUMMER,7,13:25
2.432,1997,SUMMER,7,13:30
2.42,1997,SUMMER,7,13:40
2.523,1997,SUMMER,7,13:50
2.461,1997,SUMMER,7,10:10
2.47,1997,SUMMER,7,10:50
2.535,1997,SUMMER,7,11:05
2.613,1997,SUMMER,7,11:15
2.563,1997,SUMMER,7,11:30
2.482,1997,SUMMER,7,11:40
2.624,1997,SUMMER,7,12:10
2.628,1997,SUMMER,7,14:20
2.62,1997,SUMMER,7,14:20
2.644,1997,SUMMER,7,14:40
2.644,1997,SUMMER,7,09:20
2.577,1997,SUMMER,7,09:25
2.334,1997,SUMMER,7,10:20
2.58,1997,SUMMER,7,10:30
2.514,1997,SUMMER,7,10:45
2.478,1997,SUMMER,7,10:55
2.511,1997,SUMMER,7,11:00
2.382,1997,SUMMER,7,11:10
2.331,1997,SUMMER,7,11:40
2.376,1997,SUMMER,7,12:05
2.556,1997,SUMMER,7,12:15
1.422,1997,FALL,10,11:23
1.441,1997,FALL,10,12:15
1.407,1997,FALL,10,12:40
1.378,1997,FALL,10,12:53
1.445,1997,FALL,10,13:05
1.416,1997,FALL,10,13:35
1.414,1997,FALL,10,10:15
1.387,1997,FALL,10,10:25
1.444,1997,FALL,10,10:40
1.323,1997,FALL,10,11:55
1.414,1997,FALL,10,12:10
1.362,1997,FALL,10,12:20
1.365,1997,FALL,10,12:30
1.455,1997,FALL,10,13:00
1.428,1997,FALL,10,13:20
1.302,1997,FALL,10,13:45
1.454,1997,FALL,10,13:45
1.412,1997,FALL,10,14:10
1.37,1997,FALL,10,15:45
1.337,1997,FALL,10,10:25
1.321,1997,FALL,10,11:05
1.32,1997,FALL,10,11:10
1.455,1997,FALL,10,11:20
1.391,1997,FALL,10,11:45
1.376,1997,FALL,10,11:50
1.458,1997,FALL,10,12:00
1.318,1997,FALL,10,13:05
1.374,1997,FALL,10,13:30
1.42,1997,FALL,10,13:45
1.386,1997,FALL,10,13:50
1.328,1997,FALL,10,14:40
